Municipio,Latitud,Longitud,Nombre,Categoría,Distancia,Dirección
alcala-de-henares,40.4818396,-3.3644973,Universidad Cisneriana,universidades,180,"Plaza de San Diego, s/n, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Universidad de Alcala de Henares,universidades,180,"Plaza San Diego, s/n, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Alcalingua-Universidad de,universidades,183,"Calle Escritorios, 4, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,CRAI-Biblioteca de la Universidad de Alcalá,universidades,222,"Plaza de San Diego (Callejón de San Pablo), 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Residencia Universitaria Lope de Vega,universidades,267,"Calle Colegio, 5, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Barataria,bares,91,"Calle Cerrajeros, 18, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,OH Alcala Lounge Bar,bares,128,"Calle Trinidad, 8, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Alkala - Nahar,bares,236,"Portilla, 3, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Reposteria Paraninfo,bares,266,"Calle Mayor, 75, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,El Lagar de Rusty,bares,291,"Calle Mayor, 81, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,El pozo de los sabores,bares,299,"Calle Carmen Descalzo, 18, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,20 de Abril,bares,340,"Cárcel Vieja, 2, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Larry's,bares,347,"Calle Gran Canal, 2, 28804 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,The Green Irish Pub,bares,355,"Calle Empecinado, 7, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Mavericks,bares,374,"Calle Emperador Fernando, 2, 28801 Alcalá de Henares Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Parque de la Artesanía,parques,112,"Calle de Ramón Fernández Guisasola, 22, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Parque,parques,379,"Calle de Ramón Esteban, 30, 28701 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Parque Victimas del Terrorismo,parques,397,Comunidad de Madrid
alcobendas,40.5400082,-3.6358494,Parque de Murcia,parques,454,Alcobendas Comunidad de Madrid
alcobendas,40.5400082,-3.6358494,Área Canina Parque Arroyo de la Vega,parques,497,"Av. de la Ermita, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Parque de Félix Rodríguez de la Fuente,parques,497,Alcobendas Madrid
alcobendas,40.5400082,-3.6358494,Área Canina Parque Víctimas del Terrorismo,parques,541,"c/ Pintor Velázquez, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Jardín de la Vega,parques,555,"Avenida Olímpica Con Una Superficie de 180.000, 28108 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Parque Comunidad de Madrid,parques,591,Comunidad de Madrid
alcobendas,40.5400082,-3.6358494,Área Canina Parque Comunidad de Madrid,parques,610,"c/ Jarama, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Telepizza,restaurantes,65,"Marqués de la Valdavia, 6, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Café Grill la Luna,restaurantes,102,"Pablo Picasso, 13, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Cafetería Alcalá,restaurantes,108,"Calle de la Libertad, 40, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Estoque Vima,restaurantes,151,"Calle Real Vieja, 16, 28100 Alcobendas Madrid"
alcobendas,40.5400082,-3.6358494,Qdeleite Parrilla Gus,restaurantes,205,"Nuestra Señora del Pilar, 3, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Granier Alcobendas,restaurantes,237,"Calle Constitución, 29, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Cerveceria Tiffany's,restaurantes,280,"Calle de Antonio Méndez, 2-4, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Planeta BG,restaurantes,399,"Avenida de la Ermita, 2H, 28010 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,La Casita de Chocolate,restaurantes,406,"Calle de Miraflores, 1, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,El Rincón de Ortega Cano,restaurantes,493,"Santiago Apóstol, 3, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Gauss,universidades,372,"Padilla, 6, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Bambu,universidades,544,"Calle de Zaragoza, 23, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Cp Seis de Diciembre,universidades,620,"Calle del Pintor Sorolla, 19, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Gimnasio Nova,universidades,684,"Pso. Chopera, 82, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Universidad Popular de Alcobendas,universidades,777,"Avenida de España, 8, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Escuela Universitaria Real Madrid - UE,universidades,889,"Avenida Bruselas, 14, Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,C.P Francisco Carrillo,universidades,1019,"Avenida Miguel Ruiz Felquera, 2, 28701 San Sebastián de los Reyes Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,"Garzas, Maria Asuncion",universidades,1050,"Calle Real Vieja, 21, 28703 San Sebastián de los Reyes Madrid"
alcobendas,40.5400082,-3.6358494,Cursos de Programación iOS para iPhone/iPad/Mac,universidades,1244,"Avenida Fuencarral, 44, 28108 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Runnymede College,universidades,1320,"Calle de la Salvia, 30, 28109 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Guadalupe gonzalez carlon,bares,101,"Calle Libertad, 51, 28100 Alcobendas Madrid"
alcobendas,40.5400082,-3.6358494,Cafetería Alcalá,bares,108,"Calle de la Libertad, 40, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,La Campana,bares,117,"Calle de la Flor, 5, 28100 Alcobendas Madrid"
alcobendas,40.5400082,-3.6358494,Bar Astur,bares,221,"Paseo de la Chopera, 44, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Clover,bares,307,"Calle Soria, 30 (Calle Alicante), 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,St. Patrick's Irish tavern,bares,316,"Calle de la Cruz, 23, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Bar Martin,bares,397,"Calle del Pintor Rosales, 10, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,All In,bares,416,"Nuestra Señora del Pilar, 3, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,Everest,bares,417,"Calle Mariano Sebastián Izuel, 5, 28100 Alcobendas Comunidad de Madrid"
alcobendas,40.5400082,-3.6358494,La CalaCa,bares,431,"Calle de la Cruz, 46, 28100 Alcobendas Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Parque del Brasil,parques,480,
alcorcon,40.3492998,-3.8284295,Parque San Petas,parques,583,"Calle Cisneros, 28922 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Parque las Comunidades,parques,719,"CL Pablo Iglesias, 28922 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Parque Buero Vallejo,parques,782,"Los Robles, 28922 Alcorcón Comunidad de Madrid"
